MODULE	GENE
grey	INAVA
grey	FASN
grey	DUSP5
grey	SC5D
turquoise	ZWINT
brown	TXNIP
grey	RGCC
grey	PDGFC
grey	PERP
turquoise	CDKN3
grey	TNFAIP6
grey	SERPINF1
grey	NET1
blue	ITM2A
yellow	IGHV3-73
yellow	TNFRSF17
grey	IL37
blue	CXCR4
grey	DCLK1
grey	SMPDL3A
turquoise	APOBEC3B
grey	GPR37
grey	KRT6B
grey	KRT6C
grey	SRPX2
grey	GNG11
turquoise	CDK1
grey	ST3GAL5
grey	NUCB2
grey	RND1
grey	AHCYL2
grey	PROS1
grey	C4BPB
brown	IQGAP1
turquoise	CKS2
grey	SMARCA1
blue	PSMB9
grey	CHRNA9
grey	ACAD8
grey	EFS
grey	CFH
grey	RBP4
grey	NPIPA2
grey	NPIPA3
grey	NPIPB11
grey	NPIPB3
grey	NPIPB4
grey	NPIPB5
grey	DKK3
grey	PLAGL1
grey	SORBS2
grey	EFNB2
grey	ITGB4
grey	LACTB2
grey	TNNT1
grey	KLF5
grey	ACSL1
grey	SLK
grey	IER3
grey	JAG1
grey	SLC19A2
grey	FAP
grey	INSM1
grey	FBP1
grey	TAGLN
grey	CYP4F3
grey	CCN2
grey	ABAT
grey	EMP1
grey	HOXC10
turquoise	CHRDL1
grey	SGCE
grey	CITED2
yellow	MZB1
grey	PAPSS2
blue	CLEC2B
grey	GSAP
grey	NRIP1
grey	S100A14
grey	ITPKA
grey	RRAD
grey	PLAAT3
grey	MYC
grey	ENO2
blue	LY75
blue	GZMA
grey	PON2
yellow	CD79A
grey	GABRE
grey	OAS1
grey	MEGF9
grey	INSL4
grey	PRKAR2B
grey	LRRC15
grey	NEUROD1
grey	CEACAM1
grey	IRAK3
grey	SCNN1B
grey	IL6
grey	SOX2
red	CTAG1A
red	CTAG1B
blue	TGFBI
grey	CFHR1
grey	KRT23
grey	NPTX1
grey	ALDH5A1
grey	KCNN4
grey	PNMA8A
grey	MTSS1
turquoise	BUB1B
grey	SAA2-SAA4
turquoise	PIGR
turquoise	MTHFD2
grey	PAH
grey	IL6ST
grey	SELENOP
grey	SRSF6
grey	DPYSL3
blue	FGL2
turquoise	DLGAP5
grey	LAPTM4B
grey	GMDS
blue	TRIM22
grey	SEC23A
yellow	IGLC1
grey	RRAGD
brown	ENC1
grey	DUOX1
grey	TSPAN1
grey	ADAM9
grey	TTC39A
turquoise	UCK2
grey	EGR1
grey	H2BC12
grey	H2BC12L
grey	LOC102724334
grey	SLC15A2
grey	DSG2
yellow	IGHV3-72
grey	IGF2BP2
grey	DDIT4
grey	RETREG1
grey	EMC2
turquoise	NEK2
grey	FZD5
grey	CD44
grey	BEX4
turquoise	UBE2S
