"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CXCL9",1.37282252763527,8.95766227706357,6.83733648334427,6.96343939424153e-11,9.2435036206746e-10,14.2210377055139
"SULF1",1.37111144116255,8.3780012183815,8.23915534037773,1.23784114559742e-14,3.50332399697382e-13,22.6586261048509
"HSD17B6",-1.37039200348894,5.22442946075104,-8.73415751913373,4.77827127333124e-16,1.64767974942456e-14,25.8480861055523
"TYMS",1.36313053705846,9.11079087292806,11.3718816260309,3.84395585112343e-24,8.23704825240734e-22,44.160727596091
"CD302",-1.35418099047111,7.7446937803654,-9.96163194430089,1.03241865205177e-19,6.05322891919829e-18,34.1334872121133
"LY75-CD302",-1.35418099047111,7.7446937803654,-9.96163194430089,1.03241865205177e-19,6.05322891919829e-18,34.1334872121133
"NUSAP1",1.3448221008703,8.48522918875457,10.8838073257263,1.37719351412415e-22,1.87799115562385e-20,40.6408139076478
"CENPU",1.34260196308632,6.90265151965394,9.95934530206525,1.04922634599437e-19,6.05322891919829e-18,34.117619797445
"MELK",1.33722407803557,8.0443866139996,11.7828123865284,1.82752644668679e-25,7.83225620008624e-23,47.157463379159
"MAOA",-1.33538239600658,9.49632901834616,-8.68852960633381,6.47537118792834e-16,2.18270938918933e-14,25.5500721639396
"UBE2S",1.33517527310368,8.40481741027245,11.2111775435783,1.25516892648363e-23,2.21500398791228e-21,42.9967095525846
"GDF15",-1.33416222343345,7.78224436039576,-6.40282470697339,8.27232042084173e-10,9.22563615707256e-09,11.8128885604395
"CDKN3",1.33096698946605,7.01915552956722,10.5683650665927,1.35585578005285e-21,1.23259616368441e-19,38.3920254191704
"CLU",-1.32793214526189,8.58359045200656,-7.12962842030279,1.24443239715137e-11,1.94442562054902e-10,15.8998410887657
"PCLAF",1.32394878695792,8.92571428865653,10.4493349024986,3.19498008853565e-21,2.66248340711304e-19,37.5493372089754
"RAP1GAP",-1.32378006049187,8.89202023957836,-10.7209031423152,4.49889998029558e-22,4.99877775588398e-20,39.4767241963281
"CDK1",1.32141962289501,7.57709496238951,10.6998163710713,5.24170068949661e-22,5.61610788160351e-20,39.3264639229384
"CKS2",1.31947060063385,8.44798756475262,10.9509385131321,8.44167509929857e-23,1.26625126489479e-20,41.1221618290561
"PRR15L",-1.319415579637,8.34957323095565,-10.0709694037618,4.76201748729299e-20,3.03958563018701e-18,34.8938703878149
"MECOM",-1.30950136728703,7.68288442786582,-8.12579524557558,2.57248583757496e-14,7.01587046611354e-13,21.9422946805635
"FGFR3",-1.30911801123343,7.61832417873976,-7.2523902752752,5.95931972832773e-12,1.01579313551041e-10,16.6183673086821
"COL1A1",1.30736619027706,8.22093521634666,8.09198548303063,3.19633097349187e-14,8.48583444289877e-13,21.7297116451222
"ZWINT",1.30350847645517,8.49638149138997,10.7890908656343,2.74291418170168e-22,3.29149701804201e-20,39.9632867194315
"AURKA",1.29005290717018,7.0414535737212,10.2935557128154,9.75957716825012e-21,7.50736705250009e-19,36.4516452543781
"DMBT1",-1.28151070695421,9.05305606319262,-6.24125998632248,2.02049401467735e-09,2.09016622208001e-08,10.9455109217121
"PLAU",1.28054145392806,8.23513520553349,7.20964525074475,7.70749889422449e-12,1.28458314903742e-10,16.3672986263051
"C7",-1.28049098654125,7.27640633987784,-7.94262513214488,8.29270877337726e-14,2.08613604943463e-12,20.7965595190924
"IGF2BP3",1.27954965051568,5.74314852549803,6.34111375730937,1.16556872971166e-09,1.27152952332181e-08,11.4797434365695
"BIRC5",1.27403807941608,7.07752275250072,11.4328131403672,2.45130151545681e-24,5.65684965105418e-22,44.6032839182197
"MLPH",-1.27206499788178,10.1582026694178,-9.34365183347899,7.68099810366942e-18,3.54507604784742e-16,29.9008812778247
"PMAIP1",1.27009100644808,7.72302595053164,7.19415046461253,8.45886381846306e-12,1.40202162736957e-10,16.2765196106063
"LPL",-1.26914119087829,6.74605138023585,-6.71275334060416,1.43090437926888e-10,1.83449279393446e-09,13.5196191124053
"NDNF",-1.26867930696877,8.15214162034411,-6.7396605895151,1.22564349533603e-10,1.58488383017591e-09,13.6703787147594
"CENPA",1.26659267690654,6.14648699340879,11.303089414033,6.3829630809762e-24,1.27659261619524e-21,43.6618716325693
"NEDD9",-1.25822206409772,8.24544986077219,-7.93856175280776,8.50946126232973e-14,2.10978378404869e-12,20.7713107088667
"SORBS2",-1.25435660490407,7.52220904545483,-10.3610743625944,6.0193721795895e-21,4.880572037505e-19,36.9266788586095
"NEK2",1.25386810314557,6.97598250684704,10.5139476525427,2.00713629279837e-21,1.72040253668431e-19,38.0063559090589
"BUB1B",1.23884819703648,7.35787415017032,9.99339608210067,8.24837333055573e-20,5.05002448809535e-18,34.3540533462477
"TMC5",-1.23800445354789,7.66036311711961,-6.55189487400726,3.58116070004464e-10,4.19667269536481e-09,12.6268836252828
"HOPX",-1.23395625992502,10.3688319791982,-5.62106364119526,5.38216607980486e-08,4.26028977293261e-07,7.76650975287374
"GZMB",1.2270748852934,6.5825367723116,8.77922895923878,3.53637967538689e-16,1.27820952122418e-14,26.1432347275245
"MGP",-1.21558991201169,10.5884209620663,-7.84345264978016,1.55340955705589e-13,3.66947139462021e-12,20.1824470312037
"PEG10",1.20651865756413,6.95574555555422,5.16957642918895,5.03273760072631e-07,3.24692748433955e-06,5.61201379922047
"ACSL5",-1.20473510859213,8.4985751810406,-7.89073293573713,1.15229668105622e-13,2.78781455094248e-12,20.4746706678961
"RACGAP1",1.20460691587928,6.92261501791528,11.0897382026467,3.05965249648417e-23,5.09942082747362e-21,42.1203042317673
"TRIP13",1.20423121192091,7.63381151362368,10.5147233785463,1.99595347827537e-21,1.72040253668431e-19,38.0118487903915
"CXCL10",1.19960437731299,8.69192655529536,7.50475387475467,1.2814083827664e-12,2.54584446907231e-11,18.119419338117
"GBP1",1.19676750350485,8.09688204759208,7.07024962823262,1.77196167576631e-11,2.68479041782774e-10,15.5551081177683
"KIF4A",1.19568274662405,6.66662799453685,11.5277844782198,1.21425081606056e-24,3.64275244818169e-22,45.2943596423512
"STAT1",1.18944196725512,9.22857444254025,9.62089589773295,1.12687127076209e-18,5.93090142506362e-17,31.7855147109308
"DUOX1",-1.18630917615703,6.26369229068472,-10.0749721541578,4.62872712825643e-20,3.0187350836455e-18,34.9217688221789
"AUTS2",-1.18306581048094,8.21117157335211,-6.38595120950226,9.08736932015174e-10,1.00228338089909e-08,11.7215728154967
"CXCL8",1.18196543110846,8.87847017384607,5.61696820761378,5.49571242248347e-08,4.33872033353958e-07,7.74634342125363
"DLGAP5",1.17734167696001,6.03784819785232,9.6753587518961,7.70789769059805e-19,4.12923090567752e-17,32.1585299612814
"CTSE",-1.166783656856,8.97126433243932,-5.38118737334501,1.7949677470103e-07,1.31019543577394e-06,6.60437592656446
"ALOX15B",-1.16467427935123,7.88748940851294,-7.2768082259158,5.14282300858973e-12,8.86693622170643e-11,16.7622084043139
"CRYM",-1.16400898943097,8.1531440171854,-8.74547569165441,4.43075174973119e-16,1.56379473519924e-14,25.9221311570312
"LOXL2",1.16276467680255,8.30337202060374,9.09140946039171,4.3104809224919e-17,1.84734896678224e-15,28.2078838142095
"DLC1",-1.16224224922768,8.77368548795416,-7.83524809873708,1.63588471004416e-13,3.834104789166e-12,20.1318408473106
"MALL",-1.15886211241981,9.89373452897217,-7.18679323994835,8.84047741317316e-12,1.45722155162195e-10,16.2334593170833
"PBK",1.15266690329219,5.53045585606965,7.81636133033992,1.84255821699964e-13,4.28501910930148e-12,20.01546288122
"MUC1",-1.14683505019291,10.5233953650475,-7.06550253598876,1.82259775457591e-11,2.71848767654562e-10,15.5276281552018
"SYBU",-1.14669094814797,7.41987026910347,-7.6481583936135,5.27820642238574e-13,1.1230226430608e-11,18.9862945706055
"FHL1",-1.14395399699142,8.31907034289188,-7.68371901839785,4.22983338914113e-13,9.39962975364696e-12,19.202774396341
"FOXM1",1.1408559333927,7.19218564733719,10.11467877486,3.49185711420763e-20,2.32790474280509e-18,35.198748447663
"MMP1",1.14083445278516,7.14779236622206,3.88312685607829,0.000134228219617096,0.000491678460135884,0.292491645885567
"GINS1",1.13101396170038,6.67768794035553,9.26216624605487,1.34402380513134e-17,6.0180170379015e-16,29.3516407397846
"CENPF",1.12846285835979,7.94235509398044,10.2526704390311,1.30702136456639e-20,9.56357096024186e-19,36.1645496339734
"MSMB",-1.12705170635289,5.49386810651269,-3.78250837461777,0.00019723023780284,0.000689616216093847,-0.0686383266472737
"P3H2",-1.12385862911063,7.54250368315544,-8.44432489100338,3.25004329792204e-15,1.0263294625017e-13,23.9687345396318
"LGALS4",-1.11726207595229,6.15991539935687,-5.02611025515512,9.95108109450304e-07,6.09249862928757e-06,4.95719867775113
"COL5A2",1.11526740757909,8.87515028011066,7.57204668905353,8.46159994861611e-13,1.73868492094852e-11,18.5249722290302
"TACC2",-1.11180299243372,7.75771011494351,-7.37759192014437,2.79071250975108e-12,5.10496190808124e-11,17.3590946627178
"GGH",1.10920080720529,6.38339148021434,7.16099068984869,1.03178968117232e-11,1.66227680229822e-10,16.0826636236796
"FLRT3",-1.10684159216771,7.33261355346221,-5.39756376836388,1.65525479215115e-07,1.21412331942627e-06,6.68247016325268
"TESC",-1.10601964380644,8.03188280329189,-5.27343360211184,3.04566925231616e-07,2.0849562328231e-06,6.09515154140232
"VCAN",1.10581006949056,7.74369948133437,6.6817015360897,1.7100228283836e-10,2.14647216951916e-09,13.3461432352619
"CCNB2",1.10246400494156,7.5853216121485,10.9111265489163,1.12859793476327e-22,1.61228276394753e-20,40.8365867584498
"ABCA3",-1.09516667866328,8.02485287442658,-6.25855289094439,1.83764640388585e-09,1.91421500404776e-08,11.0376001808126
"AGR2",-1.09441228646079,10.6191160388873,-4.74396935589738,3.64754961249246e-06,1.92652268265447e-05,3.71299030587914
"RNASE4",-1.09439739221158,6.72950953820259,-7.49444760109751,1.36524124834723e-12,2.69455509542216e-11,18.0575005597752
"MCM4",1.09389624956666,7.53750888000878,9.8125257461319,2.9502764451264e-19,1.60924169734167e-17,33.1018826095522
