"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045839","negative regulation of mitotic nuclear division","11/212","64/18842",0.171875,15.275795990566,12.2033517741913,1.24489061489086e-10,1.26206151992383e-08,1.26206151992383e-08,"TRIP13/NDC80/TTK/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/CCNB1/BUB1/CDC20",11
"GO:0033260","nuclear DNA replication","9/212","36/18842",0.25,22.2193396226415,13.5940347632663,1.76406023497639e-10,1.75808036977308e-08,1.75808036977308e-08,"PCNA/GINS1/GMNN/MCM4/DONSON/MCM2/MCM6/DBF4/CDC7",9
"GO:0051054","positive regulation of DNA metabolic process","19/212","267/18842",0.0711610486891386,6.32460603490919,9.3474290482493,1.96055574634253e-10,1.92134463141568e-08,1.92134463141568e-08,"PCNA/SSBP1/RAD51AP1/H2AX/RFC5/CCNA2/SKP2/ACTL6A/NEK2/CDK1/DBF4/MSH2/CCT6A/RFC4/USP1/FOXM1/CDC7/PRKDC/UBE2V2",19
"GO:1901989","positive regulation of cell cycle phase transition","13/212","110/18842",0.118181818181818,10.5036878216124,10.6637488452136,3.25527392329817e-10,3.13787060147431e-08,3.13787060147431e-08,"DTL/RRM1/DLGAP5/BIRC5/CDK1/EZH2/RRM2/UBE2C/CDC7/CCNB1/CDC20/CDC6/CCNE2",13
"GO:0051784","negative regulation of nuclear division","11/212","70/18842",0.157142857142857,13.9664420485175,11.59385990935,3.41532058372533e-10,3.23904597295241e-08,3.23904597295241e-08,"TRIP13/NDC80/TTK/ZWINT/CENPF/BUB1B/BIRC5/MAD2L1/CCNB1/BUB1/CDC20",11
"GO:0006270","DNA replication initiation","9/212","39/18842",0.230769230769231,20.5101596516691,13.0104713752807,3.85659417501883e-10,3.59948789668424e-08,3.59948789668424e-08,"DTL/GMNN/MCM4/MCM2/MCM6/MCM7/TOPBP1/MCM5/CDC6",9
"GO:1901992","positive regulation of mitotic cell cycle phase transition","12/212","91/18842",0.131868131868132,11.7200912295252,10.9350415692122,4.35943852036699e-10,4.00523414058717e-08,4.00523414058717e-08,"DTL/RRM1/DLGAP5/BIRC5/CDK1/RRM2/UBE2C/CDC7/CCNB1/CDC20/CDC6/CCNE2",12
"GO:0044786","cell cycle DNA replication","9/212","40/18842",0.225,19.9974056603774,12.8302685243194,4.92805265992169e-10,4.45799225235993e-08,4.45799225235993e-08,"PCNA/GINS1/GMNN/MCM4/DONSON/MCM2/MCM6/DBF4/CDC7",9
"GO:0010389","regulation of G2/M transition of mitotic cell cycle","12/212","97/18842",0.123711340206186,10.9951371328535,10.5279879587604,9.2850538106698e-10,8.15209098481736e-08,8.15209098481736e-08,"DTL/RRM1/AURKA/DONSON/CENPF/FHL1/CDK1/DBF4/TOPBP1/CDC7/CCNB1/CDC6",12
"GO:0030174","regulation of DNA-templated DNA replication initiation","7/212","19/18842",0.368421052631579,32.7442899702085,14.7676528533651,9.28894721059121e-10,8.15209098481736e-08,8.15209098481736e-08,"DTL/GMNN/MCM4/MCM2/MCM6/MCM7/MCM5",7
"GO:0050000","chromosome localization","13/212","123/18842",0.105691056910569,9.39354195428747,9.96253767864576,1.32643542203124e-09,1.14697651199172e-07,1.14697651199172e-07,"NDC80/TTK/DLGAP5/CENPA/KIF2C/ZWINT/CENPF/BIRC5/NEK2/CDK1/RACGAP1/CCNB1/ECT2",13
"GO:0000727","double-strand break repair via break-induced replication","6/212","12/18842",0.5,44.438679245283,16.0566726288441,1.65097538456262e-09,1.40691815380119e-07,1.40691815380119e-07,"MCM4/MCM2/MCM6/MCM7/MCM5/CDC7",6
"GO:0051310","metaphase chromosome alignment","12/212","109/18842",0.110091743119266,9.78466332006232,9.81178857977892,3.62696386284921e-09,3.04664964479333e-07,3.04664964479333e-07,"NDC80/TTK/CENPA/KIF2C/ZWINT/CENPF/BIRC5/NEK2/CDK1/RACGAP1/CCNB1/ECT2",12
"GO:1902749","regulation of cell cycle G2/M phase transition","12/212","110/18842",0.109090909090909,9.69571183533448,9.75714783386329,4.03122138985157e-09,3.31122077935277e-07,3.31122077935277e-07,"DTL/RRM1/AURKA/DONSON/CENPF/FHL1/CDK1/DBF4/TOPBP1/CDC7/CCNB1/CDC6",12
